Tx-Rx distance,PDR,confidence interval
100,1.0,0.0
200,1.0,0.0
300,1.0,0.0
400,0.9885707375190695,0.01530739527775882
500,0.9516666666666667,0.08861491911009615
600,0.9857843137254902,0.017397228022536456
700,0.9103778734228238,0.1020726647984357
800,0.6967538331028722,0.22111799521990735
900,0.6477507753702771,0.1673916922361711
1000,0.4889193929232868,0.24652841368068845
1100,0.47629075036289376,0.21569062272523426
1200,0.3538129431417246,0.23349041967246215
1300,0.3418178816621758,0.2385731226422851
1400,0.38789374321148057,0.2905479224301253
1500,0.34781963319699166,0.36836185713715613
1600,0.3455755669814688,0.3372245590088299
1700,0.25292192613370734,0.35385957417873043
1800,0.11833333333333333,0.18937277366983724
1900,0.07266982622432859,0.11629594271160155
2000,0.0,0.0
2100,0.0,0.0
2200,0.0,0.0
2300,0.012195121951219513,0.016901576721044306
2400,0.016129032258064516,0.02235369824396182
