Tx-Rx distance,PDR
50,0.9898609397873791
100,0.9925688382053807
150,0.8610301337812455
200,0.7393490385546923
250,0.6225222361953391
300,0.3649823258190315
350,0.245446808327892
400,0.19986809367366873
450,0.12681282632075416
500,0.04902907930688777
550,0.009578544061302681
600,0.00644122383252818
650,0.004424778761061947
700,0.0
750,0.0
800,0.0
850,0.0
900,0.0
950,0.0
1000,0.0
1050,0.0
