TgenCAM,Velocity,Heading,Distance,Timeout,Mixed
100,0.005696326851306227,0.002357100766057749,0.0007857002553525829,0.0,0.0004910626595953643
200,0.0037320762129247694,0.004714201532115498,0.4348850913376547,0.0,0.003339226085248478
300,0.0046159890001964245,0.013160479277155765,0.41710862306030244,0.0,0.004026713808681988
400,0.005107051659791789,0.005892751915144373,0.06295423296012571,0.0,0.006383814574739737
500,0.002553525829895895,0.000785700255352583,0.009330190532311924,0.0,0.002553525829895895
600,0.0008839127872716558,0.0002946375957572186,0.0009821253191907287,0.0,0.0002946375957572186
700,0.0002946375957572186,0.00019642506383814572,0.0004910626595953643,0.0,0.00019642506383814572
800,0.0005892751915144372,0.0,0.0003928501276762915,0.0,9.821253191907288e-05
900,0.0002946375957572186,0.0,0.0002946375957572186,0.0,0.0
1000,9.821253191907288e-05,9.821253191907288e-05,0.00019642506383814575,0.0038302887448438423,0.0
