v2x_family_id,equipment_id,seq_num,timestamp,fix_mode,latitude,longitude,altitude,qty_SV_used,SemiMajorAxisAccuracy,heading,velocity,time_confidence,time_uncertainty,position_confidence,dd,dd
81,233,51,1634823767267812,3,44.628367,10.948502,72.538025,25,3.000171, ,0.000000, , , ,  0%,
81,233,52,1634823767317827,3,44.628367,10.948502,72.538025,25,3.000171, ,0.000000, , , ,  0%,
81,233,53,1634823767367801,3,44.628367,10.948502,72.538025,25,3.000171, ,0.000000, , , ,  0%,
81,233,54,1634823767417790,3,44.628367,10.948502,72.538025,25,3.000171, ,0.000000, , , ,  0%,
81,233,55,1634823767467788,3,44.628367,10.948502,72.538025,25,3.000171, ,0.000000, , , ,  0%,
81,233,56,1634823767517790,3,44.628367,10.948502,72.538025,25,3.000171, ,0.000000, , , ,  0%,
81,233,57,1634823767567811,3,44.628367,10.948502,72.538025,25,3.000171, ,0.000000, , , ,  0%,
81,233,58,1634823767617831,3,44.628367,10.948502,72.538025,25,3.000171, ,0.000000, , , ,  0%,
81,233,59,1634823767667795,3,44.628367,10.948502,72.538025,25,3.000171, ,0.000000, , , ,  0%,
81,233,60,1634823767717816,3,44.628367,10.948502,72.538025,25,3.000166, ,0.000000, , , ,  0%,
81,233,61,1634823767767785,3,44.628367,10.948502,72.538025,25,3.000166, ,0.000000, , , ,  0%,
81,233,62,1634823767817789,3,44.628367,10.948502,72.538025,25,3.000171, ,0.000000, , , ,  0%,
81,233,63,1634823767867810,3,44.628367,10.948502,72.538025,25,3.000171, ,0.000000, , , ,  0%,
81,233,64,1634823767917821,3,44.628367,10.948502,72.538025,25,3.000166, ,0.000000, , , ,  0%,
81,233,65,1634823767967797,3,44.628367,10.948502,72.538025,25,3.000166, ,0.000000, , , ,  0%,
81,233,66,1634823768017777,3,44.628367,10.948502,72.538025,25,3.000171, ,0.000000, , , ,  0%,
81,233,67,1634823768067767,3,44.628367,10.948502,72.538025,25,3.000171, ,0.000000, , , ,  0%,
81,233,68,1634823768117784,3,44.628367,10.948502,72.540222,25,3.000171, ,0.000000, , , ,  0%,
81,233,69,1634823768169703,3,44.628367,10.948502,72.540222,25,3.000171, ,0.000000, , , ,  0%,
81,233,70,1634823768217798,3,44.628367,10.948502,72.540222,25,3.000171, ,0.000000, , , ,  0%,
81,233,71,1634823768267785,3,44.628367,10.948502,72.540222,25,3.000171, ,0.000000, , , ,  0%,
81,233,72,1634823768317941,3,44.628367,10.948502,72.540222,25,3.000171, ,0.000000, , , ,  0%,
81,233,73,1634823768367814,3,44.628367,10.948502,72.540222,25,3.000171, ,0.000000, , , ,  0%,
81,233,74,1634823768417823,3,44.628367,10.948502,72.540222,25,3.000171, ,0.000000, , , ,  0%,
81,233,75,1634823768467816,3,44.628367,10.948502,72.540222,25,3.000171, ,0.000000, , , ,  0%,
81,233,76,1634823768517795,3,44.628367,10.948502,72.540222,25,3.000171, ,0.000000, , , ,  0%,
81,233,77,1634823768567801,3,44.628367,10.948502,72.540222,25,3.000171, ,0.000000, , , ,  0%,
81,233,78,1634823768617791,3,44.628367,10.948502,72.540222,25,3.000171, ,0.000000, , , ,  0%,
81,233,79,1634823768667810,3,44.628367,10.948502,72.540222,25,3.000171, ,0.000000, , , ,  0%,
81,233,80,1634823768717820,3,44.628367,10.948502,72.540222,25,3.000166, ,0.000000, , , ,  0%,
81,233,81,1634823768767793,3,44.628367,10.948502,72.540222,25,3.000166, ,0.000000, , , ,  0%,
