latitude,longitude
44.629316,10.947059
44.629317,10.947056
44.629318,10.947055
44.629318,10.94705
44.629313,10.947049
44.629313,10.947046
44.629314,10.947044
44.629316,10.947042
44.629317,10.947041
44.629318,10.94704
44.629319,10.947038
44.629321,10.947039
44.629318,10.94704
44.629319,10.947036
44.62932,10.947035
44.629321,10.947032
44.629321,10.947031
44.629324,10.947036
44.629324,10.947035
44.629325,10.947033
44.629328,10.947027
44.629328,10.947026
44.62933,10.947024
44.629331,10.947024
44.629331,10.947025
44.629332,10.947024
44.629331,10.947023
44.629332,10.947022
44.629339,10.947015
44.629339,10.947014
44.62934,10.947012
44.62934,10.947009
44.629341,10.947009
44.629341,10.947007
44.629343,10.947013
44.629345,10.947009
44.62935,10.947003
44.62935,10.947002
44.629347,10.947
44.629348,10.947
44.629349,10.947001
44.62935,10.947
44.629352,10.946997
44.629355,10.946995
44.629355,10.946994
44.629352,10.946991
44.629353,10.94699
44.629356,10.946987
44.629357,10.946987
44.629358,10.946984
44.629355,10.946982
44.629356,10.946981
44.629359,10.946976
44.629361,10.946973
44.629362,10.946973
44.629363,10.94697
44.629364,10.946968
44.629365,10.946966
44.629366,10.946965
44.629367,10.946958
44.629369,10.946958
44.629368,10.946956
44.62937,10.946954
44.629371,10.946953
44.629371,10.946952
44.629372,10.94695
44.629372,10.946951
44.629376,10.94695
44.629378,10.94695
44.629379,10.946949
44.62938,10.946946
44.629381,10.946943
44.629383,10.946943
44.629384,10.946942
44.629385,10.946945
44.629387,10.946944
44.629388,10.946943
44.629389,10.946942
44.629389,10.94694
44.629391,10.946934
44.629391,10.946934
44.629394,10.946936
44.629394,10.946935
44.629397,10.946932
44.629399,10.946929
44.629399,10.946926
44.6294,10.946924
44.629402,10.946918
44.629403,10.946914
44.629405,10.946913
44.629404,10.946913
44.629404,10.946912
44.629405,10.946907
44.629407,10.946905
44.629409,10.946903
44.629409,10.946902
44.629411,10.9469
44.629411,10.946899
44.629412,10.946898
44.629413,10.946897
44.629412,10.946895
44.629413,10.946893
44.629414,10.946889
44.629414,10.946887
44.629415,10.946885
44.629418,10.946881
44.629419,10.946879
44.62942,10.946878
44.629432,10.946875
44.629433,10.946874
44.629435,10.946871
44.629435,10.94687
44.629437,10.946868
44.629438,10.946868
44.629439,10.946866
44.629442,10.946862
44.629443,10.946861
44.629444,10.946859
44.629445,10.946858
44.629446,10.946858
44.629448,10.946861
44.629451,10.94686
44.629451,10.94686
44.629454,10.946858
44.629457,10.946855
44.629457,10.946854
44.629459,10.946855
44.62946,10.946855
44.629461,10.946853
44.629463,10.946854
44.629466,10.946853
44.629465,10.946852
44.629466,10.946852
44.629468,10.94685
44.629468,10.946849
44.629472,10.946851
44.629475,10.946848
44.629476,10.946848
44.629478,10.946847
44.629479,10.946846
44.62948,10.94684
44.629482,10.946839
44.629484,10.946838
44.629487,10.946838
44.629488,10.946838
44.62949,10.946837
44.629488,10.946831
44.629489,10.946828
44.629491,10.946825
44.629493,10.946825
44.629494,10.946821
44.629496,10.946817
44.629498,10.946815
44.629498,10.946813
44.6295,10.946807
44.629501,10.946805
44.629502,10.946805
44.629503,10.946804
