seq_num,timestamp,TgenCAM,latitude,longitude,heading,velocity,size,trig_vel,trig_head,trig_distance,trig_timeout
0,1641300253687070,1100,44.633304,10.872779,352.3,3.65,100,0,0,1,0
1,1641300254487090,800,44.633329,10.872773,352.9,3.06,100,1,0,0,0
2,1641300255387104,900,44.633358,10.872764,352.1,3.79,100,1,0,0,0
3,1641300256487100,1100,44.633394,10.872761,354.1,3.86,100,0,0,1,0
4,1641300257487094,1000,44.63343,10.872757,351.7,4.11,100,0,0,1,0
5,1641300257886411,400,44.633443,10.872755,354.9,3.59,100,1,0,0,0
6,1641300258386393,500,44.633466,10.872754,350.4,4.44,100,1,0,0,0
7,1641300259086356,700,44.633491,10.872748,351.3,3.9,100,1,0,0,0
8,1641300259786394,700,44.633515,10.872743,356.3,4.43,100,1,0,0,0
9,1641300260786397,1000,44.633549,10.872738,354.1,3.84,100,1,0,0,0
10,1641300261386407,600,44.633573,10.872735,349.4,4.47,100,1,0,0,0
11,1641300261886405,500,44.633591,10.872732,352.9,3.71,100,1,0,0,0
12,1641300262186404,300,44.633603,10.872731,352.2,4.24,100,1,0,0,0
13,1641300263187158,1000,44.63364,10.872732,353.1,3.65,100,1,0,1,0
14,1641300264187133,1000,44.633677,10.872722,345.5,4.0,100,0,0,1,0
15,1641300265286385,1100,44.633714,10.872715,351.3,4.05,100,0,0,1,0
16,1641300266286382,1000,44.633751,10.872703,350.3,4.13,100,0,0,1,0
17,1641300267187136,900,44.633784,10.872704,1.0,3.78,100,0,1,0,0
18,1641300267387134,200,44.633793,10.872704,1.3,4.55,100,1,0,0,0
19,1641300268187136,800,44.633826,10.872702,350.8,4.36,100,0,1,0,0
20,1641300269187131,1000,44.633864,10.872697,356.6,4.09,100,0,0,1,0
21,1641300270187151,1000,44.6339,10.872692,358.1,4.02,100,0,0,1,0
22,1641300271087133,900,44.633932,10.872684,346.4,3.9,100,0,1,0,0
23,1641300272187120,1100,44.63397,10.872676,354.9,3.81,100,0,0,1,0
24,1641300273187125,1000,44.634006,10.872667,350.8,3.98,100,0,0,1,0
25,1641300274086404,900,44.634036,10.872663,355.6,3.38,100,1,0,0,0
26,1641300274286386,200,44.634044,10.872661,356.3,3.94,100,1,0,0,0
27,1641300275286384,1000,44.63408,10.872654,358.1,3.95,100,0,0,1,0
28,1641300275987085,700,44.634105,10.87266,8.3,3.89,100,0,1,0,0
29,1641300277087119,1100,44.634141,10.872673,18.0,3.92,100,0,0,1,0
30,1641300278187065,1100,44.634179,10.872691,22.4,3.96,100,0,0,1,0
31,1641300279286399,1100,44.634215,10.872714,26.8,4.11,100,0,0,1,0
32,1641300280387124,1100,44.634251,10.872733,23.9,3.99,100,0,0,1,0
33,1641300281487147,1100,44.634287,10.872755,24.6,4.01,100,0,0,1,0
34,1641300282687123,1200,44.634323,10.872777,23.4,3.67,100,0,0,1,0
35,1641300283787133,1100,44.634359,10.872797,24.2,3.61,100,0,0,1,0
36,1641300284787112,1000,44.634391,10.872818,25.6,4.3,100,1,0,0,0
37,1641300285087138,300,44.6344,10.872822,20.2,3.69,100,1,0,0,0
38,1641300286187135,1100,44.634433,10.872844,24.9,3.72,100,0,0,1,0
39,1641300286587112,400,44.634447,10.872853,26.3,4.27,100,1,0,0,0
40,1641300286787111,200,44.63445,10.872856,29.7,3.22,100,1,0,0,0
41,1641300286987144,200,44.634457,10.872862,29.3,3.86,100,1,0,0,0
42,1641300287487115,500,44.634471,10.872867,17.6,3.45,100,0,1,0,0
43,1641300288587124,1100,44.634506,10.872882,15.8,3.56,100,0,0,1,0
44,1641300289587130,1000,44.634537,10.872895,17.8,4.28,100,1,0,0,0
45,1641300289687099,100,44.634539,10.872897,19.4,3.61,100,1,0,0,0
46,1641300290886412,1200,44.634577,10.872915,16.2,3.86,100,0,0,1,0
47,1641300291687074,800,44.634602,10.872932,27.9,3.86,100,0,1,0,0
48,1641300292787090,1100,44.634636,10.872954,19.4,3.72,100,0,0,1,0
49,1641300293886407,1100,44.634671,10.872967,15.5,3.75,100,0,0,1,0
50,1641300294186385,300,44.63468,10.872967,5.3,3.42,100,0,1,0,0
51,1641300294986405,800,44.634707,10.872966,354.8,3.49,100,0,1,0,0
52,1641300295686406,700,44.634728,10.872957,342.5,3.56,100,0,1,0,0
53,1641300296086356,400,44.634739,10.872948,331.6,3.62,100,0,1,0,0
54,1641300296886409,800,44.63476,10.872925,316.9,3.87,100,0,1,0,0
55,1641300297487139,600,44.634771,10.872904,304.7,3.9,100,0,1,0,0
56,1641300298487141,1000,44.634785,10.872862,290.4,3.86,100,0,1,0,0
57,1641300299587137,1100,44.634799,10.872811,287.1,3.97,100,0,0,1,0
58,1641300299987119,400,44.634805,10.872793,297.4,4.07,100,0,1,0,0
59,1641300301086410,1100,44.63482,10.872746,294.4,3.68,100,0,0,1,0
60,1641300302187107,1100,44.634835,10.872698,293.9,3.75,100,0,0,1,0
61,1641300303287121,1100,44.634848,10.872649,292.7,3.85,100,0,0,1,0
62,1641300304387124,1100,44.634862,10.872601,296.2,3.73,100,0,0,1,0
63,1641300305587139,1200,44.634876,10.87255,290.7,3.62,100,0,0,1,0
